PARAMETER,YEAR,LAT,LON, IRRAD [kW-hr/m^2/day]
ALLSKY_SFC_SW_DWN,1988,19.25,-159.25,5.72
ALLSKY_SFC_SW_DWN,1988,19.25,-159.75,5.72
ALLSKY_SFC_SW_DWN,1988,19.25,-160.25,5.72
ALLSKY_SFC_SW_DWN,1988,19.25,-160.75,5.72
ALLSKY_SFC_SW_DWN,1988,19.75,-154.75,5.67
ALLSKY_SFC_SW_DWN,1988,19.75,-155.25,5.41
ALLSKY_SFC_SW_DWN,1988,19.75,-155.75,5.41
ALLSKY_SFC_SW_DWN,1988,19.75,-156.25,5.96
ALLSKY_SFC_SW_DWN,1988,19.75,-156.75,5.96
ALLSKY_SFC_SW_DWN,1988,19.75,-157.25,5.7
ALLSKY_SFC_SW_DWN,1988,19.75,-157.75,5.7
ALLSKY_SFC_SW_DWN,1988,19.75,-158.25,5.68
ALLSKY_SFC_SW_DWN,1988,19.75,-158.75,5.68
ALLSKY_SFC_SW_DWN,1988,19.75,-159.25,5.72
ALLSKY_SFC_SW_DWN,1988,19.75,-159.75,5.72
ALLSKY_SFC_SW_DWN,1988,19.75,-160.25,5.72
ALLSKY_SFC_SW_DWN,1988,19.75,-160.75,5.72
ALLSKY_SFC_SW_DWN,1988,20.25,-154.75,5.79
ALLSKY_SFC_SW_DWN,1988,20.25,-155.25,5.69
ALLSKY_SFC_SW_DWN,1988,20.25,-155.75,5.69
ALLSKY_SFC_SW_DWN,1988,20.25,-156.25,6.07
ALLSKY_SFC_SW_DWN,1988,20.25,-156.75,6.07
ALLSKY_SFC_SW_DWN,1988,20.25,-157.25,6.06
ALLSKY_SFC_SW_DWN,1988,20.25,-157.75,6.06
ALLSKY_SFC_SW_DWN,1988,20.25,-158.25,6
ALLSKY_SFC_SW_DWN,1988,20.25,-158.75,6
ALLSKY_SFC_SW_DWN,1988,20.25,-159.25,5.91
ALLSKY_SFC_SW_DWN,1988,20.25,-159.75,5.91
ALLSKY_SFC_SW_DWN,1988,20.25,-160.25,5.91
ALLSKY_SFC_SW_DWN,1988,20.25,-160.75,5.91
ALLSKY_SFC_SW_DWN,1988,20.75,-154.75,5.79
